Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
2018.12.18,18-Dec-18,2018,Unprovoked,MEXICO,Sonora,Southeast of Puerto Peñasco ,Diving,M,35,FATAL,Y,11h00,Tiger shark,
2018.12.15.b,15-Dec-18,2018,Provoked,AUSTRALIA,New South Wales,,,M,48,Bitten on foot when he stepped on the shark  PROVOKED INCIDENT,N,11h00,Wobbegong shark,
2018.12.15.a,15-Dec-18,2018,Unprovoked,NEW ZEALAND,North Island,Matauri Bay,Spearfishing,M,24,Injuries to leg and hand,N,11h20,"Mako shark, 7'",
2018.12.09.b,09-Dec-18,2018,Unprovoked,NEW ZEALAND,North Island,Ti Point,Spearfishing,M,50,No injury,N,08h00,Bronze whaler 2.5m,
2018.12.09.a,09-Dec-18,2018,Unprovoked,AUSTRALIA,New South Wales ,Nambucca,Surfing,M,36,Five deep lacerations to lower right leg,N,07h15,,
2018.11.28,28-Nov-18,2018,Unprovoked,AUSTRALIA,New South Wales,South Steyne,Surfing,M,20s,Cut to left foot,N,18h30,Wobbegong shark,
2018.11.24,24-Nov-18,2018,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,48,Lacerations to left foot,N,17h00,,
2018.11.18,18-Nov-18,2018,Unprovoked,AUSTRALIA,Northern Territory ,Off Nhulunbuy,Spearfishing,M,17,Severe lacerations to left arm and right leg,N,Before 10h00,Reef shark x 2,
2018.11.17,17-Nov-18,2018,Unprovoked,AUSTRALIA,New South Wales,"7 Mile Beach, Gerroa",Surfing,M,24,Injuries to calf and hand,N,13h00,,
2018.11.14,14-Nov-18,2018,Watercraft,AUSTRALIA,Queensland,Moffat Beach,Kayaking,M,31,"No injury to occupant, kayak bitten",N,06h50,"Tiger shark, 13'",
2018.11.11.b,11-Nov-18,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Tinley Manor,Fishing,M,41,Surf-ski bitten but no injury to occupant,N,Morning,"White shark, 3m",
2018.11.11.a,11-Nov-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Mandurah",Body Boarding,M,20,Injuries to lower left leg and foot,N,08h40,Sandtiger shark,
2018.11.09,09-Nov-18,2018,Unprovoked,BAHAMAS,Exumas,Compass Cay,Swimming,M,8,Arc of shallow lacerations to back,N,13h30,Nurse shark,
2018.11.07.a,07-Nov-18,2018,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Ballina",Surfing,M,42,20 cm injury to left calf,N,06h45,5' shark,
2018.11.03,03-Nov-18,2018,Unprovoked,EGYPT,Unknown,Brothers' Island,Scuba diving,M,,Calf muscle removed,N,,Oceanic whitetip shark,
2018.11.05,05-Nov-18,2018,Unprovoked,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",Swimming,M,33,FATAL,Y,17h30,,
2018.10.24,24-Oct-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Guillotines surf break, Shire of Augusta Margaret River",Surfing,M,,Knocked off board by a  shark.   No injury,N,09h00,,
2018.10.23.c,23-Oct-18,2018,Unprovoked,USA,Florida,"Near Patrick AFB, Brevard County",Surfing,F,,Injury to right foot,N,Early afternoon,3' to 4' shark,
2018.10.23.b,23-Oct-18,2018,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,29,Minor injury to toe,N,,,
2018.10.23.a,23-Oct-18,2018,Unprovoked,USA,California,Farallon Islands,Diving / Filming,M,,Injury to right hand / wrist,N,Morning,"White shark, 17' female",
2018.10.19.b,19-Oct-18,2018,Unprovoked,AUSTRALIA,New South Wales,Samurai Beach,Body Surfing,M,50,Injury to upper right arm,N,07h00,Bull shark?,
2018.10.19.a,19-Oct-18,2018,Unprovoked,NEW ZEALAND,North Island,Baylys Beach ,Surfing,M,25,Severe lacerations to arm and hand and cut to face,N,18h00,"White Shark, 3.2m to 3.5m",
2018.10.16.R,Reported 16-Oct-2018,2018,Watercraft,SAMOA,Upolo,,Surf skiing ,M,,"No injury, tail of surf ski bitten off",N,,,
2018.10.13,13-Oct-18,2018,Questionable,AUSTRALIA,Western Australia,Two Rocks near Three Mile Reef,Spearfishing,M,,"No injury, claimed he was bumped by shark",N,12h00,"White shark, 5m female",
2018.10.11,11-Oct-18,2018,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,,Black eye,N,Morning,Spinner shark,
2018.10.08,08-Oct-18,2018,Provoked,AUSTRALIA,Queensland,Swain Reef,Fishing,M,55,Injury to upper left arm by hooked shark PROVOKED INCIDENT,N,Afternoon,"""reef shark""",
2018.09.29,29-Sep-18,2018,Unprovoked,USA,California,"Beacons Beach, San Diego County",Diving,M,13,Traumatic injuries to upper torso,N,06h55,"White shark, 11'",
2018.09.28,28-Sep-18,2018,Unprovoked,AUSTRALIA,Northern Territory ,Groote Eylandt,,M,17,Knee bitten,N,Afternoon,Bull shark,
2018.08.27,27-Sep-18,2018,Watercraft,USA,California,Humboldt County,Fishing,M,55,"No injury, shark nicked kayak",N,15h00,White shark,
2018.09.23,23-Sep-18,2018,Unprovoked,BAHAMAS,Abaco Islands,Treasure Cay,Spearfishing,F,32,Lacerations to fingers,N,13h42,Blacktip shark,
